id,course_id,ranking_type,scope_code,rank,source,source_year,source_url
d11e483c-5def-464b-8904-2c2d16331d80,1cd5676c-cbcb-458a-97d3-7e583485be15,state,AK,1,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alaska-best-golf-courses-rankings
990ef39b-ae7e-41a0-9531-d56477285ddb,2b45cf8a-5ad0-4429-81cf-4e8f0d78930e,state,AK,2,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alaska-best-golf-courses-rankings
86add72f-e074-4b9e-b70c-94e64cdf755a,c1d7ec36-9b22-42ac-b729-5fb2723457af,state,AL,1,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
ac9583aa-46ce-4988-9f0f-a3b1b55244fb,0f1e8d1a-31ca-4ac9-a141-b61c7f7fae0f,state,AL,2,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
03508b2e-97c0-4f72-af78-3666d7d059d6,fe2c786f-0b66-4a37-9987-9b30cda08d78,state,AL,3,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
753efde6-d056-4280-9166-79a3d6ce1aa0,eae7e0c1-0b8c-4abf-8df5-7d25c3f2c7e7,state,AL,4,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
ac64ebe2-7101-43e4-bbaf-ac7b020cc008,5c6a29e3-00e5-4324-aa90-52f44b1eb577,state,AL,5,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
75ccb3b0-2ad9-497f-a24b-ea676b6293d3,2bf7e624-de12-4b42-9a1a-8c23c0c7e5cd,state,AL,6,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
7de2e01c-b458-401f-9620-0813b27aa043,fc6ba9b0-ea9e-4da9-9579-a37cb3214501,state,AL,7,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
db1cfc4e-13ce-4987-ad18-b4be88ce3640,2f04d142-6a99-409e-9c14-cbe94037f163,state,AL,8,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
de725044-89a9-461f-8df7-dc38d877ba2a,a701b8c8-64bf-4686-a599-cf6e09acaacd,state,AL,9,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
6922bb4c-3c41-4cd5-89dc-704035d88940,b83c1325-275f-4177-950f-5d527cf53637,state,AL,10,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
70339155-3c64-4614-a4c0-0ec0f993ab2e,1568a646-0b7a-4fc6-90c7-9d1f3ac27373,state,AL,11,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
be929060-bf1d-448e-b44e-41a02c0c769d,4fbce721-3050-4ac5-8a25-6e59d8b55a7e,state,AL,12,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
4862aa85-8b21-45e9-87ad-6c5a43cbfb10,297d36aa-d494-43e4-af11-dd2c95480fc1,state,AL,13,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
e5b51963-2baf-41dc-b1c2-e67230f70bf9,59072001-19a2-4391-993a-70762c9cbb2e,state,AL,14,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
0bd94820-52ee-424e-b4e4-c1a062bc5bb6,4147bd22-36e7-4f27-9ed6-b28a384c5017,state,AL,15,Golf Digest,2025,https://www.golfdigest.com/courses/guides/alabama-best-golf-courses-rankings
dee20e00-0575-419c-b8de-06148978a521,8889d172-2e60-419d-bb83-e4a40b554038,state,AR,1,Golf Digest,2025,https://www.golfdigest.com/courses/guides/arkansas-best-golf-courses-rankings
6fad22e2-d397-413c-a246-eefb020c602a,cb139965-1843-4631-bc14-2f2567f2bfff,state,AR,2,Golf Digest,2025,https://www.golfdigest.com/courses/guides/arkansas-best-golf-courses-rankings
f824f938-44a7-41b7-8e8f-1755a9ba254e,02dab1c6-f644-4d20-83d4-27fa1e0395df,state,AR,3,Golf Digest,2025,https://www.golfdigest.com/courses/guides/arkansas-best-golf-courses-rankings
a19ccdb7-70d5-45e6-9af6-1a197c86deef,717c1cc2-be0b-4ed2-9f6d-cb780536bda8,state,AR,4,Golf Digest,2025,https://www.golfdigest.com/courses/guides/arkansas-best-golf-courses-rankings
9a9d47b6-2f1b-4765-8ea0-1e6bda94b9e5,87203cca-c276-4c0f-a70f-a5f0e82636a8,state,AR,5,Golf Digest,2025,https://www.golfdigest.com/courses/guides/arkansas-best-golf-courses-rankings
